Claim_ID,Claim_Date,Claim_Payment,Cause_of_Loss,Policy_ID
3R8SSQC,7/27/2023,147809,Hurricane,584029
NIG2VR3,5/3/2023,295893,Sinking,791298
TWLX4T9,6/13/2023,24406,Hurricane,584446
EV1G0YZ,4/16/2023,26766,Striking Submerged Object,819000
A3EZZQX,10/24/2023,7330,Hurricane,673173
RZL71GN,10/22/2023,14696,Hurricane,184201
FCWYZZ5,8/25/2023,142210,Hurricane,517587
53LRJGX,8/14/2023,11638,Collision,960995
XQHDKUQ,7/2/2023,24697,Collision,367104
NQDCYXA,8/4/2023,19034,Grounding,269490
RKYYAO8,9/26/2023,6941,Hurricane,189600
B8S769Y,7/3/2023,130292,Sinking,986069
HD13V7E,8/28/2023,13273,Hurricane,712287
OVW4UDO,6/23/2023,51532,Grounding,693617
KPFS31D,7/20/2023,186534,Hurricane,154130
FG6FDFH,8/22/2023,39839,Striking Submerged Object,450477
T1OOGJG,7/15/2023,18254,Grounding,585517
41EEBQH,10/24/2023,297922,Hurricane,266744
NAJU0BO,5/27/2023,65427,Sinking,753002
O8HQPDW,8/8/2023,75850,Sinking,530721
NOHBMQG,4/27/2023,34937,Hurricane,592479
LOQ8KJF,7/7/2023,49950,Collision,186864
4M8ZM1P,7/23/2023,286805,Sinking,912745
Y1X4TFU,7/27/2023,30815,Hurricane,634605
2GAG4A6,8/7/2023,43887,Collision,467579
10F3NKY,10/13/2023,20445,Grounding,734116
ZMKAFKS,11/24/2023,21346,Hurricane,540393
0NFO76B,6/11/2023,20459,Striking Submerged Object,380924
S6CMFMB,9/12/2023,181235,Sinking,625492
GY6LJ7R,9/23/2023,58124,Sinking,136287
W64Z52S,7/10/2023,28800,Hurricane,810422
HJ5YG6M,6/15/2023,9056,Grounding,546242
9R0Z0W6,11/15/2023,43235,Striking Submerged Object,165915
PRDBI7K,6/4/2023,62714,Collision,212416
808DO4S,7/11/2023,20458,Grounding,728548
V3T5UUD,7/27/2023,20422,Collision,549971
X2M70C1,5/25/2023,35618,Hurricane,890631
DSEO69B,8/2/2023,74176,Grounding,482561
7BN9UHU,11/24/2023,30622,Striking Submerged Object,825007
OY46XA1,7/2/2023,33617,Hurricane,944638
L22INY6,8/13/2023,186261,Grounding,460141
HPOL3TF,6/21/2023,23968,Collision,646372
E4SRVKA,6/24/2023,127196,Grounding,396989
HEFY7HT,6/25/2023,36756,Grounding,251617
L6DEUE4,8/17/2023,10074,Grounding,962135
2UE8ZEJ,8/24/2023,7773,Grounding,135677
JQNL85J,7/11/2023,20896,Hurricane,892246
WDZ06HD,4/25/2023,299176,Collision,324952
8OPLL2D,9/11/2023,173652,Hurricane,163883
NX59SMK,4/15/2023,27495,Grounding,173275
ND11F93,9/13/2023,134155,Sinking,884418
802TGR9,7/27/2023,70584,Hurricane,557924
7LARX8N,4/4/2023,14132,Striking Submerged Object,688768
CMHNLY6,6/4/2023,11624,Collision,248324
AH2FFKB,8/12/2023,24612,Grounding,373616
P1Z1Z49,6/27/2023,32486,Grounding,640074
LP3PKPR,1/1/2023,7566,Hurricane,480427
WG66Y4M,6/13/2023,105193,Sinking,924676
IVLIMY0,7/1/2023,260311,Hurricane,514021
5IRDZSY,12/10/2023,17760,Collision,112387
HXX4WHG,7/10/2023,43056,Grounding,890296
NPHSBLR,6/24/2023,47270,Hurricane,744805
7JJ2TWK,8/6/2023,17980,Collision,535287
NAO6CKU,8/1/2023,20066,Hurricane,381178
339SMXI,11/11/2023,115983,Sinking,133701
UILWKBS,8/27/2023,18970,Grounding,401587
